time_period,time_identifier,geographic_level,country_code,country_name,social_care_group,t_pupils,t_no_identified_SEN,pt_no_identified_SEN,t_all_SEN,pt_all_SEN,t_SEN_support,pt_SEN_support,t_statement_or_EHC_plan,pt_statement_or_EHC_plan,t_ASD_ss,pt_ASD_ss,t_HI_ss,pt_HI_ss,t_MLD_ss,pt_MLD_ss,t_MSI_ss,pt_MSI_ss,t_NSA_ss,pt_NSA_ss,t_OTH_ss,pt_OTH_ss,t_PD_ss,pt_PD_ss,t_PMLD_ss,pt_PMLD_ss,t_SEMH_ss,pt_SEMH_ss,t_SLCN_ss,pt_SLCN_ss,t_SLD_ss,pt_SLD_ss,t_SPLD_ss,pt_SPLD_ss,t_VI_ss,pt_VI_ss,t_ASD_se,pt_ASD_se,t_HI_se,pt_HI_se,t_MLD_se,pt_MLD_se,t_MSI_se,pt_MSI_se,t_NSA_se,pt_NSA_se,t_OTH_se,pt_OTH_se,t_PD_se,pt_PD_se,t_PMLD_se,pt_PMLD_se,t_SEMH_se,pt_SEMH_se,t_SLCN_se,pt_SLCN_se,t_SLD_se,pt_SLD_se,t_SPLD_se,pt_SPLD_se,t_VI_se,pt_VI_se
202021,Academic year,National,E92000001,England,CLA at any point,61060,29260,47.9,31800,52.1,16490,27,15310,25.1,330,2,100,0.6,2970,18,20,0.1,480,2.9,540,3.3,200,1.2,20,0.1,7900,47.9,2510,15.2,50,0.3,1270,7.7,100,0.6,2090,13.7,100,0.6,1670,10.9,20,0.1,0,0,320,2.1,310,2,500,3.2,7170,46.9,1290,8.4,1360,8.9,400,2.6,80,0.5
202021,Academic year,National,E92000001,England,Ever CIN - last 6 years,894780,566970,63.4,327800,36.6,198730,22.2,129070,14.4,10030,5,1990,1,42430,21.3,350,0.2,7310,3.7,7500,3.8,3470,1.7,180,0.1,67120,33.8,36210,18.2,600,0.3,20140,10.1,1400,0.7,31760,24.6,1640,1.3,12310,9.5,360,0.3,0,0,2920,2.3,6180,4.8,6760,5.2,33070,25.6,13020,10.1,16380,12.7,3510,2.7,1160,0.9
201920,Academic year,National,E92000001,England,All pupils comparison,8312550,7037530,84.7,1275020,15.3,999420,12,275600,3.3,67870,6.8,17170,1.7,211560,21.2,2650,0.3,40330,4,45930,4.6,23420,2.3,920,0.1,194110,19.4,236960,23.7,3000,0.3,145880,14.6,9620,1,82850,30.1,6030,2.2,29590,10.7,970,0.4,0,0,7070,2.6,13370,4.9,10000,3.6,39190,14.2,42590,15.5,30590,11.1,9950,3.6,3410,1.2
201920,Academic year,National,E92000001,England,CIN at 31 March,225340,119020,52.8,106320,47.2,54590,24.2,51730,23,2130,3.9,410,0.7,10720,19.6,90,0.2,1770,3.2,1900,3.5,860,1.6,120,0.2,22050,40.4,9580,17.5,220,0.4,4440,8.1,310,0.6,12650,24.5,540,1,4180,8.1,170,0.3,0,0,1060,2,2920,5.6,4460,8.6,11860,22.9,3730,7.2,8610,16.6,1130,2.2,420,0.8
201920,Academic year,National,E92000001,England,CINO at 31 March,142010,74870,52.7,67150,47.3,30740,21.6,36410,25.6,1610,5.2,270,0.9,6000,19.5,60,0.2,1010,3.3,1120,3.6,570,1.9,90,0.3,11430,37.2,5630,18.3,140,0.5,2640,8.6,170,0.6,10550,29,410,1.1,2430,6.7,150,0.4,0,0,750,2,2560,7,3960,10.9,4930,13.5,2430,6.7,7180,19.7,740,2,330,0.9
201920,Academic year,National,E92000001,England,CPPO at 31 March,31760,19870,62.6,11890,37.4,9190,28.9,2700,8.5,240,2.6,60,0.7,1950,21.3,20,0.2,330,3.6,270,2.9,110,1.2,10,0.1,3510,38.2,1940,21.1,30,0.3,680,7.4,60,0.6,430,15.7,40,1.4,330,12.3,c,c,0,0,60,2.3,100,3.7,50,2,1030,37.9,310,11.3,260,9.5,80,3,20,0.6
201920,Academic year,National,E92000001,England,CLA at 31 March,52140,24550,47.1,27590,52.9,14820,28.4,12770,24.5,290,2,80,0.5,2800,18.9,10,0.1,430,2.9,520,3.5,180,1.2,20,0.1,7190,48.5,2040,13.7,50,0.3,1130,7.6,80,0.5,1700,13.3,90,0.7,1440,11.3,20,0.1,0,0,260,2,260,2.1,460,3.6,5960,46.7,1010,7.9,1190,9.3,310,2.4,70,0.6
201920,Academic year,National,E92000001,England,CLA 12 months at 31 March,41180,18430,44.7,22750,55.3,11490,27.9,11260,27.3,210,1.8,60,0.5,2170,18.9,10,0.1,320,2.8,410,3.6,140,1.2,20,0.1,5650,49.1,1470,12.8,30,0.3,930,8.1,70,0.6,1380,12.3,80,0.7,1310,11.6,20,0.2,0,0,220,1.9,240,2.1,410,3.6,5370,47.7,880,7.8,1040,9.2,270,2.4,60,0.5
201920,Academic year,National,E92000001,England,CLA less than 12 months at 31 March,10960,6120,55.9,4840,44.1,3330,30.4,1510,13.8,80,2.4,20,0.6,630,18.9,c,c,100,3.1,100,3.1,40,1.3,10,0.2,1550,46.4,570,17.1,20,0.5,200,6,10,0.4,320,21.1,10,0.8,130,8.7,c,c,0,0,40,2.5,30,1.8,50,3.2,590,39.2,140,9,150,10.1,40,2.9,10,0.7
201920,Academic year,National,E92000001,England,CIN at any point,394470,231100,58.6,163370,41.4,94010,23.8,69370,17.6,3930,4.2,810,0.9,19240,20.5,140,0.2,3170,3.4,3320,3.5,1510,1.6,160,0.2,35560,37.8,17100,18.2,360,0.4,8160,8.7,550,0.6,16920,24.4,770,1.1,5990,8.6,230,0.3,0,0,1480,2.1,3730,5.4,5210,7.5,16440,23.7,5660,8.2,10740,15.5,1620,2.3,570,0.8
201920,Academic year,National,E92000001,England,CINO at any point,272250,162860,59.8,109400,40.2,59570,21.9,49830,18.3,3090,5.2,590,1,12320,20.7,110,0.2,2030,3.4,2230,3.7,1090,1.8,120,0.2,20780,34.9,11060,18.6,250,0.4,5550,9.3,350,0.6,14010,28.1,590,1.2,3790,7.6,200,0.4,0,0,1070,2.1,3240,6.5,4560,9.1,8020,16.1,3890,7.8,8880,17.8,1130,2.3,470,0.9
201920,Academic year,National,E92000001,England,CPPO at any point,61930,38980,62.9,22960,37.1,17580,28.4,5370,8.7,500,2.8,120,0.7,3780,21.5,20,0.1,630,3.6,510,2.9,210,1.2,20,0.1,6650,37.8,3650,20.7,60,0.3,1330,7.6,110,0.6,890,16.6,80,1.5,620,11.6,10,0.1,0,0,120,2.3,200,3.6,130,2.4,1970,36.7,660,12.3,510,9.5,160,2.9,30,0.5
201920,Academic year,National,E92000001,England,CLA at any point,60970,29630,48.6,31340,51.4,17020,27.9,14320,23.5,340,2,100,0.6,3180,18.7,10,0.1,510,3,580,3.4,210,1.2,30,0.2,8200,48.2,2430,14.3,60,0.3,1290,7.6,90,0.5,2040,14.3,100,0.7,1600,11.1,20,0.2,0,0,290,2,310,2.1,530,3.7,6510,45.5,1130,7.9,1370,9.6,330,2.3,80,0.6
201819,Academic year,National,E92000001,England,All pupils comparison,8237830,7010540,85.1,1227300,14.9,972840,11.8,254460,3.1,60050,6.2,16590,1.7,218500,22.5,2470,0.3,40250,4.1,46390,4.8,22850,2.3,980,0.1,181940,18.7,227760,23.4,3120,0.3,142560,14.7,9380,1,73450,28.9,5870,2.3,29100,11.4,920,0.4,0,0,6770,2.7,13090,5.1,9880,3.9,34920,13.7,38070,15,29920,11.8,9080,3.6,3390,1.3
201819,Academic year,National,E92000001,England,CIN at 31 March,234140,125650,53.7,108490,46.3,56690,24.2,51800,22.1,2060,3.6,450,0.8,11750,20.7,80,0.1,1950,3.4,2100,3.7,980,1.7,140,0.2,22150,39.1,9730,17.2,280,0.5,4640,8.2,340,0.6,12650,24.4,550,1.1,4380,8.4,200,0.4,0,0,1070,2.1,3130,6,4600,8.9,11010,21.3,3680,7.1,8890,17.2,1120,2.2,450,0.9
201819,Academic year,National,E92000001,England,CINO at 31 March,151450,81570,53.9,69880,46.1,32780,21.6,37100,24.5,1590,4.8,310,1,6780,20.7,60,0.2,1180,3.6,1230,3.7,680,2.1,100,0.3,11770,35.9,5910,18,200,0.6,2770,8.5,210,0.6,10560,28.5,420,1.1,2660,7.2,170,0.5,0,0,770,2.1,2780,7.5,4090,11,4640,12.5,2410,6.5,7470,20.1,740,2,360,1
201819,Academic year,National,E92000001,England,CPPO at 31 March,32010,20060,62.7,11950,37.3,9360,29.2,2590,8.1,220,2.4,60,0.7,2060,22,10,0.1,320,3.4,330,3.5,130,1.4,10,0.1,3530,37.8,1880,20.1,40,0.4,710,7.6,60,0.6,430,16.7,40,1.6,300,11.7,c,c,0,0,60,2.2,80,3.1,70,2.7,940,36.1,320,12.4,250,9.7,80,3,10,0.4
201819,Academic year,National,E92000001,England,CLA at 31 March,51050,24180,47.4,26870,52.6,14680,28.7,12190,23.9,250,1.7,70,0.5,2950,20.1,20,0.1,460,3.1,560,3.8,180,1.2,20,0.2,6900,47,1960,13.3,50,0.3,1160,7.9,80,0.5,1670,13.7,90,0.8,1430,11.7,20,0.2,0,0,240,1.9,270,2.2,440,3.6,5470,44.9,960,7.8,1190,9.8,300,2.5,80,0.6
201819,Academic year,National,E92000001,England,CLA 12 months at 31 March,39760,17840,44.9,21920,55.1,11300,28.4,10620,26.7,180,1.6,60,0.5,2300,20.3,10,0.1,340,3,450,4,130,1.2,20,0.1,5350,47.4,1400,12.4,40,0.3,950,8.4,60,0.6,1340,12.6,80,0.7,1270,11.9,20,0.2,0,0,210,2,230,2.2,380,3.6,4880,46,830,7.8,1020,9.6,260,2.5,70,0.6
201819,Academic year,National,E92000001,England,CLA less than 12 months at 31 March,11290,6340,56.2,4950,43.8,3370,29.9,1570,13.9,70,2,20,0.5,650,19.4,c,c,120,3.5,100,3,50,1.3,10,0.3,1550,45.9,560,16.4,10,0.4,220,6.4,20,0.5,320,20.6,10,0.9,160,10.2,c,c,0,0,30,1.8,40,2.5,60,3.7,590,37.6,130,8.1,180,11.1,40,2.4,10,0.6
201819,Academic year,National,E92000001,England,CIN at any point,402920,238840,59.3,164080,40.7,95240,23.6,68840,17.1,3680,3.9,810,0.8,20260,21.3,140,0.2,3400,3.6,3560,3.7,1640,1.7,190,0.2,34990,36.7,17220,18.1,420,0.4,8270,8.7,610,0.6,16530,24,830,1.2,6300,9.2,260,0.4,0,0,1420,2.1,3920,5.7,5400,7.8,15280,22.2,5460,7.9,11170,16.2,1560,2.3,630,0.9
201819,Academic year,National,E92000001,England,CINO at any point,280250,169720,60.6,110530,39.4,60480,21.6,50050,17.9,2910,4.8,590,1,12950,21.4,100,0.2,2260,3.7,2330,3.9,1210,2,140,0.2,20350,33.6,11330,18.7,290,0.5,5570,9.2,430,0.7,13720,27.4,650,1.3,4090,8.2,220,0.4,0,0,1050,2.1,3470,6.9,4740,9.5,7440,14.9,3760,7.5,9310,18.6,1070,2.1,510,1
201819,Academic year,National,E92000001,England,CPPO at any point,62960,39890,63.4,23070,36.6,17830,28.3,5240,8.3,460,2.6,130,0.7,3940,22.1,20,0.1,610,3.4,620,3.5,240,1.3,30,0.1,6720,37.7,3500,19.6,70,0.4,1390,7.8,100,0.5,880,16.8,80,1.5,640,12.2,10,0.2,0,0,110,2.2,150,2.9,140,2.6,1920,36.6,640,12.1,470,9,160,3.1,30,0.5
201819,Academic year,National,E92000001,England,CLA at any point,60060,29420,49,30650,51,17010,28.3,13640,22.7,300,1.8,90,0.5,3390,19.9,20,0.1,530,3.1,620,3.6,190,1.1,30,0.2,7960,46.8,2390,14.1,60,0.3,1320,7.7,90,0.5,1950,14.3,110,0.8,1580,11.6,30,0.2,0,0,260,1.9,310,2.2,520,3.8,5950,43.6,1080,7.9,1410,10.3,320,2.4,90,0.6
201718,Academic year,National,E92000001,England,All pupils comparison,8152320,6964970,85.4,1187350,14.6,949750,11.7,237600,2.9,54270,5.7,15990,1.7,224910,23.7,2290,0.2,39270,4.1,47700,5,22260,2.3,1000,0.1,173120,18.2,216680,22.8,3300,0.3,139910,14.7,9080,1,66720,28.1,5890,2.5,28340,11.9,750,0.3,0,0,6160,2.6,12830,5.4,10070,4.2,31310,13.2,34420,14.5,29530,12.4,8290,3.5,3290,1.4
201718,Academic year,National,E92000001,England,CIN at 31 March,239610,129400,54,110220,46,58560,24.4,51660,21.6,2030,3.5,450,0.8,12570,21.5,80,0.1,2030,3.5,2410,4.1,1010,1.7,160,0.3,22510,38.4,9850,16.8,290,0.5,4830,8.3,350,0.6,12320,23.8,580,1.1,4650,9,200,0.4,0,0,1080,2.1,3280,6.3,4850,9.4,10290,19.9,3510,6.8,9460,18.3,990,1.9,470,0.9
201718,Academic year,National,E92000001,England,CINO at 31 March,157730,85590,54.3,72130,45.7,34360,21.8,37770,23.9,1550,4.5,320,0.9,7280,21.2,60,0.2,1260,3.7,1430,4.2,740,2.2,130,0.4,12090,35.2,6140,17.9,200,0.6,2950,8.6,220,0.6,10390,27.5,460,1.2,2880,7.6,170,0.5,0,0,760,2,2960,7.8,4340,11.5,4400,11.6,2380,6.3,7990,21.2,670,1.8,390,1
201718,Academic year,National,E92000001,England,CPPO at 31 March,32890,20590,62.6,12300,37.4,9810,29.8,2490,7.6,230,2.3,70,0.7,2250,23,c,c,360,3.7,350,3.6,110,1.1,10,0.1,3760,38.3,1850,18.8,30,0.3,730,7.5,50,0.5,390,15.5,40,1.5,330,13.4,10,0.3,0,0,60,2.4,70,3,60,2.4,940,37.7,290,11.6,240,9.6,50,2.2,10,0.6
201718,Academic year,National,E92000001,England,CLA at 31 March,49650,23560,47.5,26090,52.5,14580,29.4,11500,23.2,250,1.7,70,0.4,3090,21.2,10,0.1,420,2.9,630,4.3,150,1,20,0.1,6750,46.3,1890,13,50,0.4,1170,8,80,0.6,1550,13.5,90,0.7,1450,12.6,20,0.2,0,0,260,2.3,250,2.1,460,4,5000,43.4,850,7.4,1240,10.8,270,2.4,60,0.5
201718,Academic year,National,E92000001,England,CLA 12 months at 31 March,38230,17240,45.1,20990,54.9,11030,28.9,9960,26.1,200,1.8,50,0.4,2380,21.6,10,0.1,300,2.7,510,4.6,110,1,10,0.1,5120,46.4,1300,11.8,40,0.4,930,8.4,70,0.7,1220,12.3,70,0.7,1300,13.1,20,0.2,0,0,230,2.3,200,2,410,4.1,4410,44.2,740,7.4,1070,10.8,240,2.4,50,0.5
201718,Academic year,National,E92000001,England,CLA less than 12 months at 31 March,11410,6320,55.4,5090,44.6,3550,31.1,1540,13.5,50,1.5,20,0.5,710,19.9,c,c,120,3.4,120,3.5,50,1.3,c,c,1630,45.8,590,16.6,10,0.4,240,6.7,10,0.3,330,21.5,20,1.3,150,9.6,c,c,0,0,30,1.9,50,3.1,50,3.5,590,38.4,110,7,170,11,30,1.9,10,0.6
