time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,setting_type,placements
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Registered provider with UKPRN,15
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,Education setting with URN,30
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Work based placement,33
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000030,Surrey,936,Other unregistered provider,23
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Other unregistered provider,63
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,889,Education setting with URN,68
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,One on one tuition,28
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Education setting with URN,105
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,One on one tuition,28
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Registered provider with UKPRN,43
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,Cheshire West and Chester,896,Work based placement,9
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000021,Kingston upon Thames,314,Work based placement,9
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000017,Hillingdon,312,Education setting with URN,227
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Other unregistered provider,35
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Non-maintained further education college,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Work based placement,4
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Work based placement,13
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,355,Education setting with URN,205
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Education setting with URN,56
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Non-maintained further education college,18
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,One on one tuition,72
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Other unregistered provider,89
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,One on one tuition,25
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,Education setting with URN,128
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Education setting with URN,73
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Other unregistered provider,516
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Education setting with URN,202
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Education setting with URN,165
