time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000030,Swindon,866,Age,14,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Age,12,Education setting with URN,7
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000022,Lambeth,208,Age,11,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,Age,15,Work based placement,10
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Age,12,Registered provider with UKPRN,4
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Age,10,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000059,Dorset,838,Age,8,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Age,15,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000019,Islington,206,Age,15,Non-maintained further education college,1
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,Kensington and Chelsea,207,Age,11,Registered provider with UKPRN,1
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000032,Luton,821,Age,12,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Age,4,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E06000020,Telford and Wrekin,894,Age,11,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Age,11,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000027,Somerset,933,Age,15,Registered provider with UKPRN,11
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Age,7,Education setting with URN,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,E09000027,Richmond upon Thames,318,Age,12,Other unregistered provider,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Age,14,Registered provider with UKPRN,2
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Age,15,Other unregistered provider,21
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Age,9,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Age,15,Education setting with URN,124
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000011,East Sussex,845,Age,14,Work based placement,2
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Age,8,Work based placement,1
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Age,9,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,921,Age,8,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Age,5,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E10000013,Gloucestershire,916,Age,9,One on one tuition,1
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Age,6,Other unregistered provider,3
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Age,14,One on one tuition,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,Age,14,Registered provider with UKPRN,24
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,921,Age,9,Other unregistered provider,2
202223,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,352,Age,9,Education setting with URN,1
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Age,13,Other unregistered provider,5
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000024,North Somerset,802,Age,12,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000009,South West,E06000026,Plymouth,879,Age,9,Education setting with URN,2
202223,Academic year,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Age,13,Education setting with URN,23
202223,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Age,13,Education setting with URN,19
