time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons,sess_x_covid,sess_y_exceptional
201516,Autumn and spring term,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,2,92,8691,3230,2141,1089,37.16488,24.63468,12.5302,67,72.82609,z,z,787,69,0,0,0,0,z,81,1204,2141,10,165,908,6,1089,3230,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,3,255,34424,6443,4335,2108,18.71659,12.59296,6.12363,139,54.5098,z,z,1798,282,0,0,0,3,z,491,1761,4335,55,7,2021,25,2108,6443,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,1,255,41748,10306,3602,6704,24.68621,8.62796,16.05825,153,60,z,z,1345,112,50,0,0,0,z,38,2057,3602,284,0,6170,250,6704,10306,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,1,36,5477,659,655,4,12.03213,11.9591,0.07303,15,41.66667,z,z,325,78,0,0,0,20,z,0,232,655,0,0,4,0,4,659,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,2,227,20142,3074,1029,2045,15.26164,5.10873,10.15291,95,41.85022,z,z,546,66,10,0,1,6,z,44,356,1029,0,67,1971,7,2045,3074,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,2,300,41865,6850,6249,601,16.36212,14.92655,1.43557,157,52.33333,z,z,365,613,0,0,0,10,z,0,43,1031,2,16,175,0,193,1224,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",1,79,13744,4164,2815,1349,30.29686,20.48166,9.81519,62,78.48101,z,z,683,94,0,0,0,16,z,128,1894,2815,0,149,1200,0,1349,4164,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,1,233,34332,16126,12698,3428,46.97076,36.9859,9.98485,187,80.25751,z,z,531,120,5,0,0,1,z,1136,10905,12698,38,676,2706,8,3428,16126,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,2,210,37472,11587,6236,5351,30.92175,16.64176,14.28,165,78.57143,z,z,2289,226,10,0,0,31,z,1018,2662,6236,6,453,4821,71,5351,11587,0,0
201516,Autumn and spring term,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,2,147,26558,4108,1425,2683,15.46803,5.36561,10.10242,67,45.57823,z,z,866,100,0,22,0,13,z,252,172,1425,28,346,2237,72,2683,4108,0,0
